DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
757,19530131,     ,     ,
757,19530201,   80,     ,
757,19530202,  105,     ,
757,19530203,   19,     ,
757,19530204,    0,     ,
757,19530205,   26,     ,
757,19530206,   57,     ,
757,19530207,    0,     ,
757,19530208,    0,     ,
757,19530209,   34,     ,
757,19530210,   46,     ,
757,19530211,  125,     ,
757,19530212,   18,     ,
757,19530213,    3,     ,
757,19530214,    1,     ,
757,19530215,    7,     ,
757,19530216,    0,     ,
757,19530217,    0,     ,
757,19530218,   20,     ,
757,19530219,    4,     ,
757,19530220,    4,     ,
757,19530221,    0,     ,
757,19530222,   17,     ,
757,19530223,    0,     ,
757,19530224,    0,     ,
757,19530225,    0,     ,
757,19530226,    0,     ,
757,19530227,    0,     ,
757,19530228,    2,     ,
757,19530301,    2,     ,
757,19530302,    0,     ,
757,19530303,    2,     ,
757,19530304,    2,     ,
757,19530305,    1,     ,
757,19530306,    0,     ,
757,19530307,    0,     ,
757,19530308,    1,     ,
757,19530309,    1,     ,
757,19530310,    2,     ,
757,19530311,   11,     ,
757,19530312,    2,     ,
757,19530313,    1,     ,
757,19530314,    0,     ,
757,19530315,    0,     ,
757,19530316,    0,     ,
757,19530317,    0,     ,
757,19530318,    0,     ,
757,19530319,    1,     ,
757,19530320,    2,     ,
757,19530321,    0,     ,
757,19530322,    0,     ,
757,19530323,    0,     ,
757,19530324,    0,     ,
757,19530325,    0,     ,
757,19530326,    0,     ,
757,19530327,    8,     ,
757,19530328,    0,     ,
757,19530329,   25,     ,
757,19530330,    0,     ,
757,19530331,   34,     ,
757,19530401,    0,     ,
757,19530402,   13,     ,
757,19530403,   80,     ,
757,19530404,  230,     ,
757,19530405,    6,     ,
757,19530406,   25,     ,
757,19530407,    9,     ,
757,19530408,    0,     ,
757,19530409,    0,     ,
757,19530410,    0,     ,
757,19530411,    0,     ,
757,19530412,    0,     ,
757,19530413,   22,     ,
757,19530414,    0,     ,
757,19530415,   55,     ,
757,19530416,    9,     ,
757,19530417,    0,     ,
757,19530418,    0,     ,
757,19530419,    0,     ,
757,19530420,    0,     ,
757,19530421,    0,     ,
757,19530422,    0,     ,
757,19530423,    0,     ,
757,19530424,    0,     ,
757,19530425,    0,     ,
757,19530426,    0,     ,
757,19530427,   15,     ,
757,19530428,   40,     ,
757,19530429,   15,     ,
757,19530430,   16,     ,
757,19530501,    0,     ,
757,19530502,   20,     ,
757,19530503,    0,     ,
757,19530504,    0,     ,
757,19530505,    0,     ,
757,19530506,    0,     ,
757,19530507,   10,     ,
